timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
261474269,32767,32767,32767,32767,-71,-72,32767
261478275,32767,32767,32767,32767,32767,32767,32767
261482268,32767,32767,32767,32767,-41,-40,32767
261486270,32767,32767,32767,32767,32767,32767,32767
261490269,32767,32767,32767,32767,32767,32767,32767
261494269,32767,32767,32767,32767,32767,-72,32767
261498275,32767,32767,32767,32767,32767,32767,32767
261502268,32767,32767,32767,32767,32767,-40,32767
261506269,32767,32767,32767,32767,-71,32767,32767
261510273,32767,32767,32767,32767,32767,32767,32767
261514269,32767,32767,32767,32767,-42,-72,32767
261518270,32767,32767,32767,32767,32767,32767,32767
261522268,32767,32767,32767,32767,32767,-64,32767
261526275,32767,32767,-100,32767,-60,32767,32767
261530287,32767,32767,32767,32767,32767,-40,32767
261534268,32767,32767,32767,32767,32767,32767,32767
261538268,32767,32767,32767,32767,32767,32767,32767
261542268,32767,32767,32767,32767,32767,-64,32767
261546275,32767,32767,32767,32767,-42,32767,32767
261550309,32767,32767,32767,32767,32767,-41,32767
261554269,32767,32767,32767,32767,32767,32767,32767
261558269,32767,32767,32767,32767,-52,32767,32767
261562269,32767,32767,32767,32767,32767,-64,32767
261566275,32767,32767,32767,32767,32767,32767,32767
261570287,32767,32767,32767,32767,-62,-40,32767
261574272,32767,32767,32767,32767,32767,32767,32767
261578268,32767,32767,32767,32767,32767,32767,32767
261582269,32767,32767,32767,32767,32767,-64,32767
261586274,32767,32767,32767,32767,32767,32767,32767
261590271,32767,32767,32767,32767,-42,-40,32767
261594268,32767,32767,32767,32767,32767,32767,32767
261598268,32767,32767,32767,32767,32767,32767,32767
261602268,32767,32767,32767,32767,-52,-64,32767
261606275,32767,32767,32767,32767,32767,32767,32767
261610269,32767,32767,32767,32767,32767,-40,32767
261614286,32767,32767,32767,32767,-62,32767,32767
261618269,32767,32767,32767,32767,32767,32767,32767
261622268,32767,32767,32767,32767,32767,-56,32767
261626275,32767,32767,32767,32767,32767,32767,32767
261630275,32767,32767,32767,32767,32767,-40,32767
261634270,32767,32767,32767,32767,-42,32767,32767
261638314,32767,32767,32767,32767,32767,32767,32767
261642269,32767,32767,32767,32767,32767,-72,32767
261646275,32767,32767,32767,32767,-62,32767,32767
261650269,32767,32767,32767,32767,32767,-40,32767
261654269,32767,32767,32767,32767,32767,32767,32767
