timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
86268348,0,263178,0.11978221,0.30064744,0.2303413,50.30482,0.0015,28,-108,-170,0
86368332,0,263178,0.114376314,0.28149167,0.2621478,50.307816,0.0015,39,-105,-191,0
86479504,0,263178,0.13239598,0.246663,0.22882669,50.28685,0.0015,59,-115,-169,0
86579514,0,263178,0.08554481,0.20835148,0.3075857,50.28685,0.0015,81,-89,-221,0
86680330,0,263178,0.09095072,0.19267859,0.29092512,50.29284,0.0015,90,-92,-210,0
86781901,0,263178,0.107168436,0.18048857,0.3015273,50.301826,0.0015,97,-101,-217,0
86881101,0,263178,0.12518811,0.1770057,0.2984981,50.29883,0.0015,99,-111,-215,0
86981902,0,263178,0.067525126,0.19093716,0.28638133,50.25989,0.0015,91,-79,-207,0
87092302,0,263178,0.10356449,0.18397142,0.29546893,50.301826,0.0015,95,-99,-213,0
87193102,0,263178,0.0981586,0.18571286,0.2969835,50.3168,0.0015,94,-96,-214,0
87293102,0,263178,0.09996056,0.20138577,0.28941053,50.31081,0.0015,85,-97,-209,0
87395501,0,263178,0.08194087,0.18745428,0.29546893,50.343758,0.0015,93,-87,-213,0
87494715,0,263178,0.094554655,0.19616146,0.3030419,50.30482,0.0015,88,-94,-218,0
87595531,0,263178,0.11798024,0.18745428,0.28335217,50.331776,0.0015,93,-107,-205,0
87695539,0,263178,0.11257434,0.19267859,0.28789595,50.33777,0.0015,90,-104,-208,0
87796343,0,263178,0.0981586,0.19267859,0.27880836,50.343758,0.0015,90,-96,-202,0
87897106,0,263178,0.09996056,0.19093716,0.28638133,50.319798,0.0015,91,-97,-207,0
87997107,0,263178,0.10536646,0.17178139,0.3030419,50.29883,0.0015,102,-100,-218,0
88108343,0,263178,0.094554655,0.16481566,0.2697208,50.3168,0.0015,106,-94,-196,0
88208351,0,263178,0.107168436,0.18048857,0.3015273,50.32878,0.0015,97,-101,-217,0
88309117,0,263178,0.114376314,0.18745428,0.32576084,50.289845,0.0015,93,-105,-233,0
88409101,0,263178,0.11798024,0.18397142,0.31364408,50.343758,0.0015,95,-107,-225,0
88511502,0,263178,0.11257434,0.18919572,0.3030419,50.319798,0.0015,92,-104,-218,0
88610701,0,263178,0.1089704,0.18222998,0.27880836,50.32878,0.0015,96,-102,-202,0
88711510,0,263178,0.07653497,0.18222998,0.27880836,50.307816,0.0015,96,-84,-202,0
88811502,0,263178,0.09996056,0.19093716,0.3075857,50.331776,0.0015,91,-97,-221,0
88902702,0,263178,0.10356449,0.18048857,0.2984981,50.349747,0.0015,97,-99,-215,0
89013101,0,263178,0.11798024,0.18048857,0.3045565,50.340763,0.0015,97,-107,-219,0
89113902,0,263178,0.11798024,0.18397142,0.31667328,50.331776,0.0015,95,-107,-227,0
89213902,0,263178,0.12879205,0.19442002,0.27123538,50.38569,0.0015,89,-113,-197,0
89325125,0,263178,0.1089704,0.18919572,0.27275,50.346752,0.0015,92,-102,-198,0
89425102,0,263178,0.13059403,0.19964433,0.27880836,50.358734,0.0015,86,-114,-202,0
89516327,0,263178,0.114376314,0.18397142,0.3015273,50.33477,0.0015,95,-105,-217,0
89626701,0,263178,0.08554481,0.19093716,0.29546893,50.35574,0.0015,91,-89,-213,0
89727502,0,263178,0.0981586,0.23447298,0.28486675,50.349747,0.0015,66,-96,-206,0
89827502,0,263178,0.12338615,0.26581877,0.25457484,50.37371,0.0015,48,-110,-186,0
89927502,0,263178,0.09635662,0.3093546,0.24397266,50.325787,0.0015,23,-95,-179,0
90038750,0,263178,0.074733004,0.33025178,0.2318559,50.30482,0.0015,11,-83,-171,0
90129109,0,263178,0.121584184,0.3267689,0.20762236,50.39767,0.0015,13,-109,-155,0
90240325,0,263178,0.11798024,0.3198032,0.19550559,50.343758,0.0015,17,-107,-147,0
90340302,0,263178,0.089148745,0.298906,0.25608942,50.39168,0.0015,29,-91,-187,0
90441101,0,263178,0.11257434,0.21357578,0.257604,50.37371,0.0015,78,-104,-188,0
90541103,0,263178,0.13960387,0.19442002,0.27426457,50.364723,0.0015,89,-119,-199,0
90642701,0,263178,0.09996056,0.18745428,0.3045565,50.400665,0.0015,93,-97,-219,0
90742702,0,263178,0.116178274,0.15784994,0.27880836,50.38569,0.0015,110,-106,-202,0
