timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
209287384,0.01,50.0,8.71,0.0,4,0,4,6
209319106,0.01,50.0,8.809999,0.0,4,0,4,6
209350905,0.01,50.0,8.889999,0.0,4,0,4,6
209383376,0.01,50.0,9.0,0.0,4,0,4,6
209415344,0.01,50.0,9.13,0.0,4,0,4,6
209447020,0.01,50.0,9.139999,0.0,4,0,4,6
209479088,0.01,50.0,8.98,0.0,4,0,4,6
209510976,0.01,50.0,8.99,0.0,4,0,4,6
209542537,0.01,50.0,9.01,0.0,4,0,4,6
209574693,0.01,50.0,8.99,0.0,4,0,4,6
209606710,0.01,50.0,8.97,0.0,4,0,4,6
209638942,0.01,50.0,8.97,0.0,4,0,4,6
209670514,0.01,50.0,9.0199995,0.0,4,0,4,6
209702203,0.01,50.0,9.099999,0.0,4,0,4,6
209734563,0.01,50.0,9.2,0.0,4,0,4,6
209766309,0.01,50.0,9.24,0.0,4,0,4,6
