timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
132229830,132229830,45,0,0,0,1546,1427,1257,1486,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
132729606,132729606,45,0,0,0,1535,1432,1257,1482,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
133229734,133229734,45,0,0,0,1535,1430,1257,1484,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
133729798,133729798,45,0,0,0,1543,1433,1257,1488,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
134229638,134229638,45,0,0,0,1550,1432,1257,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
134729629,134729629,45,0,0,0,1549,1432,1213,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
135199965,135199965,45,0,0,0,1547,1432,1211,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
135709718,135709718,45,0,0,0,1538,1434,1211,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
136215713,136215713,45,0,0,0,1532,1443,1211,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
136729959,136729959,45,0,0,0,1532,1444,1211,1539,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
137209966,137209966,45,0,0,0,1530,1442,1187,1527,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
137728420,137728420,45,0,0,0,1520,1444,1165,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
138217731,138217731,45,0,0,0,1514,1444,1165,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
138728590,138728590,45,0,0,0,1524,1444,1155,1517,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
139209817,139209817,45,0,0,0,1516,1444,1155,1513,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
139719913,139719913,45,0,0,0,1519,1444,1155,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
140227695,140227695,45,0,0,0,1522,1445,1154,1635,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
140728329,140728329,45,0,0,0,1527,1447,1154,1649,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
141209348,141209348,45,0,0,0,1542,1445,1155,1825,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
141729986,141729986,45,0,0,0,1547,1444,1145,1607,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
142229782,142229782,45,0,0,0,1531,1446,1094,1372,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
143225894,143225894,45,0,0,0,1519,1444,1131,1812,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
143730067,143730067,45,0,0,0,1519,1447,1094,1416,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
144216167,144216167,45,0,0,0,1520,1452,1094,1320,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
144726456,144726456,45,0,0,0,1514,1445,1106,1680,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
