timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
122377350,0.09453526,0.0023097422,0.15897506,-0.9827435,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122382350,0.09414214,0.0028610006,0.15875083,-0.98281604,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122387350,0.093747586,0.0031581786,0.15827967,-0.98292875,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122392386,0.09330772,0.003944051,0.15815091,-0.98298854,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122397350,0.09290116,0.0041182395,0.15765761,-0.9831056,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122402395,0.09246825,0.004866803,0.15749057,-0.9831697,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122407353,0.092048116,0.0052028704,0.15720308,-0.9832534,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122412454,0.09161324,0.005666462,0.15689981,-0.98333997,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122417350,0.09119025,0.006249574,0.15684614,-0.9833843,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122422350,0.09079428,0.0064676614,0.1564294,-0.98348594,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122427347,0.09037575,0.0071717114,0.1564088,-0.98352283,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122432396,0.08998136,0.007311103,0.15598454,-0.9836253,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122437358,0.08955031,0.007907704,0.15576808,-0.9836943,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122442347,0.089146495,0.008217956,0.15542242,-0.9837831,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122447361,0.08872691,0.00856431,0.15494715,-0.9838931,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122452396,0.08828018,0.009132002,0.15466158,-0.98397315,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122457366,0.087851115,0.009288188,0.15398201,-0.9841167,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122462347,0.08738633,0.009970948,0.15353414,-0.9842213,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122467391,0.08693421,0.010113339,0.15277505,-0.98437804,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122472396,0.086463444,0.010644508,0.15212044,-0.98451525,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122477347,0.0859947,0.010961144,0.15146522,-0.9846538,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122482347,0.085532315,0.011211961,0.15066566,-0.98481387,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122487350,0.08505876,0.011733173,0.1501265,-0.98493123,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122492397,0.08460173,0.011784489,0.14929752,-0.9850959,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122497347,0.08414651,0.0123562245,0.1488998,-0.9851881,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122502347,0.08371133,0.01242737,0.14825146,-0.985322,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122507347,0.08326,0.012825793,0.1477923,-0.9854242,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122512396,0.08282267,0.013115136,0.14742985,-0.98551154,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122517347,0.08240031,0.01322317,0.14687163,-0.98562884,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122522347,0.08195871,0.01370765,0.14661656,-0.9856969,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122527347,0.08153914,0.013663271,0.14602633,-0.98582,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122532357,0.08108385,0.01412313,0.14561172,-0.98591244,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
