timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
294587227,65333,1,1,1,0,0,0,0,0
295091729,65333,1,1,1,0,0,0,0,0
295596436,65333,1,1,1,0,0,0,0,0
296098173,65333,1,1,1,0,0,0,0,0
296603172,65333,1,1,1,0,0,0,0,0
297105608,65333,1,1,1,0,0,0,0,0
297607230,65333,1,1,1,0,0,0,0,0
298111582,65333,1,1,1,0,0,0,0,0
298613270,65333,1,1,1,0,0,0,0,0
299116453,65333,1,1,1,0,0,0,0,0
300625595,65333,1,1,1,0,0,0,0,0
301127173,65333,1,1,1,0,0,0,0,0
301631958,65333,1,1,1,0,0,0,0,0
302134173,65333,1,1,1,0,0,0,0,0
302636319,65333,1,1,1,0,0,0,0,0
303138171,65333,1,1,1,0,0,0,0,0
303643215,65333,1,1,1,0,0,0,0,0
304145627,65333,1,1,1,0,0,0,0,0
304647676,65333,1,1,1,0,0,0,0,0
305152091,65333,1,1,1,0,0,0,0,0
305653466,65333,1,1,1,0,0,0,0,0
306156643,65333,1,1,1,0,0,0,0,0
306663174,65333,1,1,1,0,0,0,0,0
307167174,65333,1,1,1,0,0,0,0,0
307676444,65333,1,1,1,0,0,0,0,0
308183216,65333,1,1,1,0,0,0,0,0
308687174,65333,1,1,1,0,0,0,0,0
309191696,65333,1,1,1,0,0,0,0,0
309696319,65333,1,1,1,0,0,0,0,0
310198217,65333,1,1,1,0,0,0,0,0
310703174,65333,1,1,1,0,0,0,0,0
312723577,65333,1,1,1,0,0,0,0,0
313225355,65333,1,1,1,0,0,0,0,0
313727278,65333,1,1,1,0,0,0,0,0
314231643,65333,1,1,1,0,0,0,0,0
314733244,65333,1,1,1,0,0,0,0,0
315234208,65333,1,1,1,0,0,0,0,0
315737174,65333,1,1,1,0,0,0,0,0
316238215,65333,1,1,1,0,0,0,0,0
316745643,65333,1,1,1,0,0,0,0,0
317247302,65333,1,1,1,0,0,0,0,0
317751729,65333,1,1,1,0,0,0,0,0
318254183,65333,1,1,1,0,0,0,0,0
318756486,65333,1,1,1,0,0,0,0,0
319258296,65333,1,1,1,0,0,0,0,0
319762240,65333,1,1,1,0,0,0,0,0
320265555,65333,1,1,1,0,0,0,0,0
320767256,65333,1,1,1,0,0,0,0,0
321271949,65333,1,1,1,0,0,0,0,0
321774173,65333,1,1,1,0,0,0,0,0
322285385,65333,1,1,1,0,0,0,0,0
322787179,65333,1,1,1,0,0,0,0,0
323796561,65333,1,1,1,0,0,0,0,0
324301596,65333,1,1,1,0,0,0,0,0
324802235,65333,1,1,1,0,0,0,0,0
325305435,65333,1,1,1,0,0,0,0,0
325807269,65333,1,1,1,0,0,0,0,0
326311671,65333,1,1,1,0,0,0,0,0
326813411,65333,1,1,1,0,0,0,0,0
327325303,65333,1,1,1,0,0,0,0,0
327827576,65333,1,1,1,0,0,0,0,0
328332046,65333,1,1,1,0,0,0,0,0
328833457,65333,1,1,1,0,0,0,0,0
329336513,65333,1,1,1,0,0,0,0,0
329838172,65333,1,1,1,0,0,0,0,0
330345456,65333,1,1,1,0,0,0,0,0
330847283,65333,1,1,1,0,0,0,0,0
331352659,65333,1,1,1,0,0,0,0,0
331856528,65333,1,1,1,0,0,0,0,0
332358171,65333,1,1,1,0,0,0,0,0
332862365,65333,1,1,1,0,0,0,0,0
333365572,65333,1,1,1,0,0,0,0,0
333865586,65333,1,1,1,0,0,0,0,0
334367253,65333,1,1,1,0,0,0,0,0
334872589,65333,1,1,1,0,0,0,0,0
335376446,65333,1,1,1,0,0,0,0,0
335882469,65333,1,1,1,0,0,0,0,0
